Code Year,Province/Territory,Code Book,National Division,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,National Sentence Number,National Article Title,National Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,National Article Title (FR),National Sentence Text (FR),P/T Article Title (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,obc2019divb,Div B,10.1.1.1.(1),10.1.1.1. Scope,The scope of this Part shall be as described in Subsection 1.1.2. of Division A.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.1.1.2.(1),10.1.1.2. Change in Major Occupancy,"The following changes of use are also deemed to be a change in major occupancy for the purposes of this Part: (a) a suite of a Group C major occupancy is converted into more than one suite of a Group C major occupancy, (b) a suite or part of a suite of a Group A, Division 2 or Group A, Division 4 major occupancy is converted to a gaming premises, (c) a farm building or part of a farm building is changed to a major occupancy, (d) a building or part of a building is changed to a post-disaster building, (e) a building or part of a building is changed to a retirement home, or (f) the use of a building or part of a building is changed and the previous major occupancy of the building or part of the building cannot be determined.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.2.1.1.(1),10.2.1.1. Classification of Major Occupancy,Every existing building or part of it shall be classified according to its major occupancy in accordance with the requirements of Subsection 3.1.2.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.2.1.2.(1),10.2.1.2. Classification According to Construction and Occupancy,"For the purposes of this Part, existing buildings shall be classified as to their construction and occupancy as provided for in Sentence 11.2.1.1.(1).",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.2.1.3.(1),10.2.1.3. Building Size and Construction,The requirements of Articles 3.2.2.20. to 3.2.2.83. do not apply to this Part.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.1.1.(1),10.3.1.1. General,"Except as provided in Section 10.4., a building or part of a building subject to a change of major occupancy shall conform to the requirements of Subsection 3.2.6., Sections 3.7., 3.11. and 3.12., Sentences 6.2.2.1.(2), 6.2.3.9.(1) and 6.2.4.7.(1), Subsections 9.5.1. and 9.5.3. to 9.5.10., Sentences 9.6.1.4.(3), (4) and (7) to (9), Article 9.7.2.3., Sentences 9.8.8.1.(5) to (9) and 9.9.10.1.(1) to (7), Subsection 9.10.17., Sections 9.31. and 9.32., and Subsections 9.34.1. to 9.34.3. as they apply to the new major occupancy that the building or part of a building is to support.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.1.(1),10.3.2.1. General,The performance level of a building after the change of major occupancy shall not be less than the performance level prior to the change of major occupancy.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.1.(2),10.3.2.1. General,"For the purposes of Sentence (1), reduction of performance level shall be determined in accordance with Article 10.3.2.2.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(1),10.3.2.2. Reduction in Performance Level,"Except as provided in Sentence (2), the performance level of a building or part of a building is reduced where the existing structural floor and roof framing systems and their supporting members are not adequate to support the proposed dead loads and live loads of the new major occupancy that the building is to support.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(2),10.3.2.2. Reduction in Performance Level,The inadequacy of the existing structural floor or roof framing system and its supporting members to support the proposed dead loads and live loads does not reduce the performance level of the building if the portion of the floor affected by the proposed loads is restricted to the loading it will support and signs stating the restrictions are posted.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(3),10.3.2.2. Reduction in Performance Level,"Except as provided in Section 10.4., the performance level of a building or part of a building is reduced where the early warning and evacuation systems requirements of the building do not meet the early warning and evacuation systems requirements set out in Table 10.3.2.2.A. for the new major occupancy that the building is to support.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(4),10.3.2.2. Reduction in Performance Level,"Except as provided in Sentence (5), the performance level of an existing building is reduced where a change in use will result in a change of the major occupancy of all or part of an existing building to another major occupancy of a greater hazard index.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(5),10.3.2.2. Reduction in Performance Level,"Except as provided in Sentence (6), if the hazard index of the new major occupancy is greater than the hazard index of the existing major occupancy, the performance level is not reduced where the hazard index of the new major occupancy is not greater than the construction index of the existing building.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(6),10.3.2.2. Reduction in Performance Level,"Small or medium sized existing buildings as determined in Tables 11.2.1.1.B. to 11.2.1.1.N. facing multiple streets may be assigned a hazard index credit of 1, which may be subtracted from the hazard index of the new major occupancy provided,(a) the building does not contain a Group B, Division 1, a Group C, or a Group F, Division 1 occupancy, and (b) firefighting access complying with Articles 3.2.5.1. to 3.2.5.5. or Subsection 9.10.20. is provided.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(7),10.3.2.2. Reduction in Performance Level,"Except as provided in Sentence (8), the performance level of a building or part of a building is reduced in an existing building of combustible construction where,(a) the occupancy is changed to a residential occupancy in all or part of the building, and (b) if the building was new, it would have been required to be of noncombustible construction or to be constructed in accordance with Article 3.2.2.43A. or 3.2.2.50A.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(8),10.3.2.2. Reduction in Performance Level,"A change in the occupancy of a building or part of a building to a residential occupancy does not reduce the performance level of the building or part of the building where,(a) the building is sprinklered, and (b) the building does not exceed 6 storeys in building height.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(9),10.3.2.2. Reduction in Performance Level,"The performance level of a building or part of a building is reduced where the new major occupancy in an existing building of multiple occupancy is not separated from adjoining major occupancies by fire separations having fire-resistance ratings conforming to Article 3.1.3.1., Subsection 9.10.9. or Table 10.3.2.2.B.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(10),10.3.2.2. Reduction in Performance Level,The performance level of a building is reduced where the building after the change of major occupancy will not comply with Article 3.1.3.2. or 9.10.9.12.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(11),10.3.2.2. Reduction in Performance Level,"The performance level of a building or part of a building is reduced where, after a change of major occupancy,(a) the total daily design sanitary sewage flow of the new major occupancy, calculated in accordance with Article 8.2.1.3., exceeds the capacity of any component of a sewage system serving the building, or (b) the type or amount of sanitary sewage that will, under the new major occupancy, be discharged to a sewage system serving the building is prohibited by Article 8.1.3.1.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.3.2.2.(12),10.3.2.2. Reduction in Performance Level,"The performance level of an existing building or part of an existing building is reduced where, (a) the use of the building or part of the building is changed to a retirement home, and (b) any of the following applies: (i) the retirement home is not sprinklered, (ii) Clause 3.2.6.8.(1)(b) or (c), as applicable, requires that a voice communication system conforming to Article 3.2.4.23. be provided in the building and such a system is not provided in the building, or (iii) the retirement home contains one or more doors to suites or sleeping rooms not within suites, other than doors leading directly to the exterior, that are not equipped with self-closing devices.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.4.1.1.(1),10.4.1.1. Substitution,"Except as provided in Sentence (3), a compliance alternative to a requirement contained in Part 3, 4, 6 or 8 that is shown in Tables 11.5.1.1.A., 11.5.1.1.B., 11.5.1.1.C., 11.5.1.1.D/E. or 11.5.1.1.F. may be substituted for the requirement where the chief building official is satisfied that compliance with the requirement is impracticable because,(a) of structural or construction difficulties, or (b) it is detrimental to the preservation of a heritage building.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.4.1.1.(2),10.4.1.1. Substitution,"Except as provided in Sentence (3), a compliance alternative to a requirement contained in Part 9 or 12 shown in Tables 11.5.1.1.C., 11.5.1.1.D/E. or 11.5.1.1.F. may be substituted for the requirement without satisfying the chief building official that the requirement is impracticable.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,10.4.1.1.(3),10.4.1.1. Substitution,"Where the building has been in existence for less than five years, compliance alternatives may only be used in respect of requirements of this Division that are referenced in Sentences 10.3.2.2.(3), (5) and Table 10.3.2.2.B.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.1.1.1.(1),11.1.1.1. Scope,The scope of this Part shall be as described in Subsection 1.1.2. of Division A.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.1.1.2.(1),11.1.1.2. Definitions,"In this Part, Building system means a combination of elements or components that form a complete major division of construction in the design of a building or part of a building, including a structural or framing system, a waterproofing system, a drainage system, an exterior cladding system, a roofing system, a window system, a partition system, a corridor system, a stair system, a fire alarm and detection system, a sprinkler system or a heating, ventilation or air-conditioning system, a foundation system, a standpipe and hose system, a flooring system, a plumbing system, a sewage system or an electrical system.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.1.2.1.(1),"11.1.2.1.  Extension, Material Alteration or Repair","Where an existing building is subject to extension, material alteration or repair, (a) the proposed construction shall comply with Section 11.3., and (b) the performance level of the building shall be evaluated and compensating construction shall be undertaken in accordance with Section 11.4.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.2.1.1.(1),11.2.1.1. Construction Index and Hazard Index,"Where proposed construction will result in the change of major occupancy of all or part of an existing building to another major occupancy, the building shall be classified as to its,(a) construction on the basis of its construction index as provided for in this Part, including Table 11.2.1.1.A., and (See Appendix A.) (b) occupancy on the basis of its hazard index as provided for in this Part, including Tables 11.2.1.1.B. to 11.2.1.1.N. (See Appendix A.)",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.2.1.1.(2),11.2.1.1. Construction Index and Hazard Index,"Small or medium sized existing buildings as determined in Tables 11.2.1.1.B. to 11.2.1.1.N. facing multiple streets may be assigned a hazard index credit of 1, which may be subtracted from the hazard index of the proposed major occupancy to reduce the additional upgrading required by Table 11.4.3.4.A. provided,(a) the building does not contain a Group B, Division 1, a Group C, or a Group F, Division 1 occupancy, and (b) firefighting access complying with Articles 3.2.5.1. to 3.2.5.5. or Subsection 9.10.20. is provided.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.2.1.1.(3),11.2.1.1. Construction Index and Hazard Index,The requirements of Articles 3.2.2.20. to 3.2.2.83. do not apply to this Part.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.2.1.2.(1),11.2.1.2. Multiple Occupancies,The classification of an existing building of multiple occupancy under Article 11.2.1.1. shall be applied according to Articles 3.2.2.5. to 3.2.2.8.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.2.1.3.(1),11.2.1.3. Prohibition of Occupancy Combinations,Nothing in this Part relieves an applicant from complying with the requirements of Article 3.1.3.2. or 9.10.9.12.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.1.1.(1),11.3.1.1.  Material Alteration or Repair of a Building System,"Where an existing building system is materially altered or repaired, the performance level of the building after the material alteration or repair shall be at least equal to the performance level of the building prior to the material alteration or repair. (See Appendix A.)",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.1.2.(1),11.3.1.2.  New Building Systems and Extension of Existing Building,"Except as provided in Article 11.3.3.1. and Section 11.5., the design and construction of a new building system or the extension of an existing building system, shall comply with all other Parts. (See Appendix A.)",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.2.1.(1),11.3.2.1. Portion of Extended Buildings,"Where an existing building is extended,(a) this Part applies to the existing portion of the building, and (b) the extended portion of the building shall comply with all other Parts.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.1.(1),11.3.3.1. Basic Renovation (See Appendix A.) ,"Except as provided in Sentence (2) and Article 11.3.3.2., construction may be carried out to maintain the existing performance level of all or part of an existing building, by the reuse, relocation or extension of the same or similar materials or components, to retain the existing character, structural uniqueness, heritage value, or aesthetic appearance of all or part of the building, if the construction will not adversely affect the early warning and evacuation systems, fire separations or the structural adequacy or will not create an unhealthy environment in the building.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.1.(2),11.3.3.1. Basic Renovation (See Appendix A.) ,"Construction in respect of a Group B, Division 3 occupancy, a hotel or a retirement home may be carried out in accordance with Sentence (1) only if the construction will be in conformance with the Fire Code made under the Fire Protection and Prevention Act, 1997.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.2.(1),11.3.3.2. Extensive Renovation (See Appendix A.),"Where existing interior walls or ceilings or floor assemblies or roof assemblies are substantially removed in an existing building and new interior walls, ceilings, floor assemblies or roof assemblies are installed in the building, structural and fire-resistance elements shall be constructed in compliance with the requirements of the other Parts.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.2.(2),11.3.3.2. Extensive Renovation (See Appendix A.),"Except as provided in Section 11.5., the proposed construction within an existing suite shall comply with the requirements of Section 3.8. where, (a) new interior walls or floor assemblies are installed, (b) the suite has an area greater than 300 m2, and (c) the suite is located in, (i) a floor area where the existing difference in elevation between the adjacent ground level and the floor level is not more than 200 mm, or (ii) a normally occupied floor area which is accessible by a passenger type elevator or other platform equipped passenger elevating device from an entrance storey where the existing difference in elevation between the adjacent ground level and the entrance storey level is not more than 200 mm.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.2.(3),11.3.3.2. Extensive Renovation (See Appendix A.),"Except as provided in Section 11.5., the proposed construction within an existing suite, other than a suite described in Sentence (2) or a suite in a building described in Clause 3.8.1.1.(1)(a), (b), (c) or (d), shall comply with the requirements of Sentences 3.8.1.3.(6), 3.8.2.3.(6), 3.8.3.1.(6), 3.8.3.3.(19), 3.8.3.7.(1), 3.8.3.15.(5) and 3.8.3.16.(4) where new interior walls or floor assemblies are installed. (See Appendix A.)",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.2.(4),11.3.3.2. Extensive Renovation (See Appendix A.),"Except as provided in Sentence (5), where existing interior walls or ceilings or floor assemblies or roof assemblies are substantially removed on any storey in an existing building and new interior walls, ceilings, floor assemblies or roof assemblies are installed, the storey shall be sprinklered if, (a) the storey will contain a Group C major occupancy, and (b) the building is over 3 storeys in building height.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.2.(5),11.3.3.2. Extensive Renovation (See Appendix A.),"Sentence (4) does not apply where the building conforms to Subclause 3.2.2.44.(1)(a)(ii), and contains dwelling units having means of egress conforming to Sentence 3.3.4.4.(8).",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.3.2.(6),11.3.3.2. Extensive Renovation (See Appendix A.),"Where existing interior walls or ceilings or floor assemblies or roof assemblies are substantially removed and new interior walls, ceilings, floor assemblies or roof assemblies are installed in an existing building or part of an existing building that is a retirement home, the following requirements apply: the retirement home shall be sprinklered, a voice communication system conforming to Article 3.2.4.23. shall be provided in the building, if Clause 3.2.6.8.(1)(b) or (c), as applicable, requires that such a voice communication system be provided in the building, and doors to suites and sleeping rooms not within suites in the retirement home, other than doors leading directly to the exterior, shall be equipped with self-closing devices.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.4.1.(1),"11.3.4.1. Extension, Material Alteration or Repair","Despite Subsections 11.3.1. to 11.3.3., when an existing building is extended or subject to material alteration or repair, Part 7 applies,(a) to the design and construction of plumbing in the extensions and those parts of the building subject to material alteration and repair, and (b) to plumbing which is adversely affected by the extension, alteration or repair.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.5.1.(1),11.3.5.1. Existing Septic Tanks,"Despite Subsections 11.3.1. to 11.3.3., where an existing septic tank is subject to material alteration, repair or replacement, the construction of the septic tank shall comply with Part 8.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.3.5.2.(1),11.3.5.2. Vertical Separations and Existing Sewage Systems,"Despite Subsections 11.3.1. to 11.3.3., where an existing sewage system is extended or is subject to material alteration or repair, the requirements respecting the vertical separation to the water table set out in Part 8 apply to the extended, altered or repaired portions of the sewage system as well as to the existing portions of the sewage system.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.1.1.(1),11.4.1.1. Performance Level,The performance level of a building after construction shall not be less than the performance level of the building prior to construction.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.1.1.(2),11.4.1.1. Performance Level,"For the purposes of Sentence (1), reduction of performance level shall be determined in accordance with Subsection 11.4.2.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.1.1.(3),11.4.1.1. Performance Level,"Where the proposed construction would reduce the performance level of an existing building, compensating construction shall be required in conformance with Subsection 11.4.3.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.1.(1),11.4.2.1. Structural,"The performance level of an existing building is reduced where after proposed construction in all or part of an existing building,(a) the major occupancy will change to a different major occupancy, (b) the occupant load will increase by more than 15%, or (c) the live load will increase due to change in use within the same major occupancy, and the existing structural floor and roof framing systems and their supporting members after the construction are not adequate to support the proposed dead loads and live loads.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.2.(1),11.4.2.2. Increase in Occupant Load,"Except as provided in Sentences 11.4.2.5.(2) and (3), the performance level of an existing building is reduced where proposed construction will increase the occupant load of an existing building by more than 15%.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.2.(2),11.4.2.2. Increase in Occupant Load,The performance level of an existing building is reduced where proposed construction will increase the occupant load by 15% or less and the new occupant load will be more than 15% above the occupant load for which a fire alarm system is required under Sentence 3.2.4.1.(2).,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.2.(3),11.4.2.2. Increase in Occupant Load,The performance level of an existing building is reduced where proposed construction will increase the occupant load by 15% or less and the new occupant load will be more than 15% above the existing exit capacity as required under Article 3.4.3.2.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.3.(1),11.4.2.3. Change of Major Occupancy,"Except as provided in Sentence 11.4.2.5.(4), the performance level of an existing building is reduced where proposed construction will result in,(a) the change of the major occupancy of all or part of an existing building to another major occupancy of a greater hazard index, (b) the conversion of a suite of a Group C major occupancy into more than one suite of Group C major occupancy, (c) the conversion of a suite or part of a suite of a Group A, Division 2 or a Group A, Division 4 major occupancy into a gaming premises, (d) the change of a farm building or part of a farm building to a major occupancy, (e) the change of a building or part of a building to a post-disaster building, (f) the change of a building or part of a building to a retirement home, or (g) the change in use of a building or part of a building where the previous major occupancy of the building or part of the building cannot be determined.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.3.(2),11.4.2.3. Change of Major Occupancy,"For the purpose of this Article and Sentences 11.4.2.1.(1) and 11.4.2.5.(4), the change of use set out in Clauses (1)(b) to (g) is also deemed to constitute a change in major occupancy.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.3.(3),11.4.2.3. Change of Major Occupancy,The performance level of an existing building is reduced where the early warning and evacuation systems requirements of other Parts for the proposed major occupancy exceed those of the existing building.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.3.(4),11.4.2.3. Change of Major Occupancy,The performance level of an existing building is reduced where the proposed major occupancy in the building is not separated from the adjoining major occupancies by fire separations having fire-resistance ratings conforming to Tables 3.1.3.1. and 11.4.3.4.B.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.3.(5),11.4.2.3. Change of Major Occupancy,"The performance level of an existing building is reduced where the occupancy of all or part of an existing building of combustible construction is changed to a new major occupancy that would require the building, if it were a new building, to be of noncombustible construction or to be constructed in accordance with Article 3.2.2.43A. or 3.2.2.50A.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.3.(6),11.4.2.3. Change of Major Occupancy,"Despite Clause (1)(a), the performance level of an existing building is reduced where proposed construction will result in the change of the major occupancy of all or part of an existing building to a Group C major occupancy in a building over 3 storeys in building height, except in a building conforming to Subclause 3.2.2.44.(1)(a)(ii) and having an egress facility conforming to Sentence 3.3.4.4.(8).",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.4.(1),11.4.2.4. Plumbing,"The performance level of an existing building is reduced where the existing building is extended or subject to material alteration or repair, and plumbing in the existing building is adversely affected by the extension, alteration or repair.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.5.(1),11.4.2.5. Sewage Systems,"The performance level of an existing building is reduced where the existing building is extended or subject to material alteration or repair and a sewage system serving the existing building is adversely affected by the extension, alteration or repair of the existing building.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.5.(2),11.4.2.5. Sewage Systems,"Except as provided in Sentence (3), the performance level of an existing building is reduced where proposed construction will increase the occupant load of an existing building, and the new occupant load will result in the total daily design sanitary sewage flow of the building, calculated in accordance with Article 8.2.1.3., exceeding the capacity of any component of a sewage system serving the building.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.5.(3),11.4.2.5. Sewage Systems,"The performance level of an existing dwelling unit is reduced where proposed construction that, (a) increases the number of bedrooms in the dwelling unit, (b) exceeds 15% of the finished area of the dwelling unit, or (c) adds new plumbing fixtures to the dwelling unit, will result in the total daily design sanitary sewage flow of the dwelling unit, calculated in accordance with Article 8.2.1.3., exceeding the capacity of any component of a sewage system serving the dwelling unit.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.5.(4),11.4.2.5. Sewage Systems,"The performance level of an existing building is reduced where proposed construction will result in the change of a major occupancy of all or part of the existing building to another major occupancy and,(a) the total daily design sanitary sewage flow of the proposed major occupancy, calculated in accordance with Article 8.2.1.3., exceeds the capacity of any component of a sewage system serving the building, or (b) the type or amount of sanitary sewage which will, under the proposed major occupancy, be discharged to a sewage system serving the building, is prohibited by Article 8.1.3.1.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.2.6.(1),11.4.2.6. Extension of Buildings of Combustible Construction,The performance level of an existing building of combustible construction is reduced where the existing building is extended by adding a storey or storeys such that the extended building will be more than four storeys in building height.,,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.3.1.(1),11.4.3.1. General (See Appendix A.),"Where the performance level of an existing building is reduced under Subsection 11.4.2., compensating construction shall be carried out in accordance with this Subsection.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.3.1.(2),11.4.3.1. General (See Appendix A.),"Except as provided in Sentence (3), compensating construction required under this Subsection applies to the part of the building being altered and shall include,(a) fire separations, with the required fire-resistance ratings, separating the part being altered from the floor areas immediately above and below and from the immediate adjacent areas, and (b) access to exits and exits from the building, where the alteration adversely affects the exit system of the building.",,,,,P/T Only,Yes,,,,,,,,,,,
2015,ON,NBC,Div B,obc2019divb,Div B,11.4.3.1.(3),11.4.3.1. General (See Appendix A.),Compensating construction required under this Subsection applies to the existing building systems that are adversely affected by the proposed construction.,,,,,P/T Only,Yes,,,,,,,,,,,
